高雄縣,0_ ,828_ ,0_ ,210_ ,0_ ,0_ ,828_ ,26_ ,,,,
屏東縣,120_ ,314_ ,2_ ,310_ ,0_ ,0_ ,314_ ,13_ ,,,,
臺東縣,11_ ,0_ ,0_ ,14_ ,0_ ,0_ ,0_ ,0_ ,,,,
花蓮縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
澎湖縣,0_ ,0_ ,88_ ,0_ ,0_ ,0_ ,0_ ,2_ ,,,,
金門縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1.  各級政府債務負擔表－債務餘額,,,,,,,,,,,,
截至94年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
　政 府 別,自償,非自償,,自償,非自償,,,,,,,
　合　　計,"22,549_ ","4,090,159_ ","279,594_ ","617,271_ ","10,473_ ","118,904_ ","4,100,632_ ","148,828_ ",,,,
　中央政府,"15,000_ ","3,549,617_ ","157,000_ ","526,751_ ",0_ ,"118,544_ ","3,549,617_ ","134,591_ ",,,,
　地方政府,"7,549_ ","540,542_ ","122,594_ ","90,520_ ","10,473_ ",360_ ,"551,015_ ","14,237_ ",,,,
　　臺北市,"1,600_ ","189,948_ ",0_ ,"20,866_ ",0_ ,0_ ,"189,948_ ","6,361_ ",,,,
　　高雄市,0_ ,"110,629_ ",0_ ,"19,510_ ","10,418_ ",0_ ,"121,047_ ","1,920_ ",,,,
　　縣　市 (表1-1),"5,567_ ","231,608_ ","122,128_ ","48,260_ ",0_ ,356_ ,"231,608_ ","5,671_ ",,,,
　　鄉鎮市 (表1-2),382_ ,"8,357_ ",466_ ,"1,884_ ",55_ ,4_ ,"8,412_ ",285_ ,,,,
說明：,,,,,,,,,,,,
　　1.中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
　　2.本表為各級政府為應公共事務支出所舉借之債務，包括公債、國庫券、國內外借款。普通基金包括總預算及特別預算。,,,,,,,,,,,,
"　　3.1年以上自償性債務總計639,820百萬元，係有特定財源用以償債，依公共債務法規定不計入債限。",,,,,,,,,,,,
"　　4.未滿1年之債務總計398,498百萬元，係為調節庫款收支所舉借之債務，其中普通基金279,594百萬元，受公共債務法債限管制。",,,,,,,,,,,,
　　5.因擔保、保證或契約可能造成未來會計年度支出：,,,,,,,,,,,,
"　　　(1)中央政府：中央政府：普通基金（交通部）325,880百萬元；非營業基金3,971百萬元。",,,,,,,,,,,,
"　　　(2)直轄市及縣(市)政府：共計40,837百萬元，分別為高雄市30,494百萬元、臺北縣1,653百萬元、宜蘭縣950百萬元、桃園縣596百萬元、臺中縣2,042百萬",,,,,,,,,,,,
"                 元、臺中市4,500百萬元、雲林縣476百萬元、高雄縣9百萬元及屏東縣117百萬元。",,,,,,,,,,,,
表2-1.  縣(市)政府債務負擔表－債務比率,,,,,,,,,,,,
截至94年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,31.44%,45.00%,21.08%,30.00%,,,,,,,,
臺北縣,40.18%,45.00%,22.66%,30.00%,,,,,,,,
桃園縣,31.86%,45.00%,31.07%,30.00%,,,,,,,,
宜蘭縣,40.04%,45.00%,35.72%,30.00%,,,,,,,,
新竹縣,42.62%,45.00%,31.42%,30.00%,,,,,,,,
苗栗縣,35.59%,45.00%,26.45%,30.00%,,,,,,,,
臺中縣,24.08%,45.00%,23.75%,30.00%,,,,,,,,
彰化縣,26.67%,45.00%,7.09%,30.00%,,,,,,,,
南投縣,35.53%,45.00%,5.59%,30.00%,,,,,,,,
雲林縣,39.77%,45.00%,25.99%,30.00%,,,,,,,,
嘉義縣,39.86%,45.00%,25.72%,30.00%,,,,,,,,
臺南縣,41.50%,45.00%,27.43%,30.00%,,,,,,,,
高雄縣,20.06%,45.00%,24.15%,30.00%,,,,,,,,
屏東縣,39.22%,45.00%,16.58%,30.00%,,,,,,,,
臺東縣,19.13%,45.00%,13.09%,30.00%,,,,,,,,
花蓮縣,27.95%,45.00%,22.77%,30.00%,,,,,,,,
澎湖縣,0.00%,45.00%,14.06%,30.00%,,,,,,,,
基隆市,27.65%,45.00%,7.93%,30.00%,,,,,,,,
新竹市,35.35%,45.00%,17.33%,30.00%,,,,,,,,
臺中市,15.49%,45.00%,10.82%,30.00%,,,,,,,,
嘉義市,10.33%,45.00%,20.23%,30.00%,,,,,,,,
臺南市,44.37%,45.00%,26.11%,30.00%,,,,,,,,
金門縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2-2.  鄉(鎮、市)公所債務負擔表－債務比率,,,,,,,,,,,,
截至94年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,4.57%,25.00%,0.33%,30.00%,,,,,,,,
臺北縣,3.85%,25.00%,0.00%,30.00%,,,,,,,,
桃園縣,1.70%,25.00%,1.47%,30.00%,,,,,,,,
宜蘭縣,2.37%,25.00%,0.00%,30.00%,,,,,,,,
新竹縣,0.09%,25.00%,0.00%,30.00%,,,,,,,,
苗栗縣,0.48%,25.00%,0.00%,30.00%,,,,,,,,
臺中縣,6.27%,25.00%,0.00%,30.00%,,,,,,,,
彰化縣,2.76%,25.00%,0.45%,30.00%,,,,,,,,
南投縣,6.00%,25.00%,0.00%,30.00%,,,,,,,,
雲林縣,1.37%,25.00%,0.00%,30.00%,,,,,,,,
嘉義縣,13.08%,25.00%,0.13%,30.00%,,,,,,,,
臺南縣,21.28%,25.00%,0.00%,30.00%,,,,,,,,
高雄縣,7.81%,25.00%,0.00%,30.00%,,,,,,,,
屏東縣,3.54%,25.00%,0.03%,30.00%,,,,,,,,
臺東縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
花蓮縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
澎湖縣,0.00%,25.00%,6.71%,30.00%,,,,,,,,
金門縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2.  各級政府債務負擔表－債務比率,,,,,,,,,,,,
截至94年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,單位：％　　,,,,,,
,   1年以上非自償債務餘額,,,,未滿1年債務餘額,,,,,,,
  政 府 別,占歲出比率,法定比率,占前3年度名目國民,,,,,,,,,
"生產毛額平均數比率""""",法定比率,占歲出比率,法定比率,,,,,,,,,
　合　　計,－,－,35.93%,48.00%,－,－,,,,,,
　中央政府,－,－,31.10%,40.00%,8.93%,15.00%,,,,,,
　地方政府,－,－,4.83%,8.00%,－,－,,,,,,
　　臺北市,－,－,1.66%,3.60%,0.00%,30.00%,,,,,,
　　高雄市,－,－,1.06%,1.80%,0.00%,30.00%,,,,,,
　　縣　市 (表2-1),31.44%,45.00%,2.03%,2.00%,21.08%,30.00%,,,,,,
　　鄉鎮市 (表2-2),4.57%,25.00%,0.07%,0.60%,0.33%,30.00%,,,,,,
說明：1.依據公共債務法規定：,,,,,,,,,,,,
　　　　(1)1年以上非自償債務，係指中央及地方政府在普通基金及非營業基金預算內，所舉借1年以上非自償債務。,,,,,,,,,,,,
　　　　(2)未滿1年債務，係指中央及地方政府為普通基金調度所舉借未滿1年債務。,,,,,,,,,,,,
　　　2.行政院主計總處配合聯合國國民經濟會計制度之修訂，將原國民生產毛額(GNP)改稱為國民所得毛額(GNI)。,,,,,,,,,,,,
"        該總處105年10月28日公布之前3年度(91年度至93年度)名目國民所得毛額(GNI)平均數為11,413,289百萬元。",,,,,,,,,,,,
各級政府公共債務概況總表,,,,,,,,,,,,
95年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,,,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,,,,,
,金額,比率,金額,比率,,,,,,,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,,,,
合 　   計,"4,186,291_ ",35.18%,"238,806_ ",－,"4,425,097_ ","577,182_ ","156,086_ ",,,,,
中央政府,"3,622,642_ ",30.44%,"110,000_ ",6.52%,"3,732,642_ ","481,211_ ","146,236_ ",,,,,
地方政府,"563,649_ ",4.74%,"128,806_ ",13.46%,"692,455_ ","95,971_ ","9,850_ ",,,,,
直轄市,"303,997_ ",－,0_ ,－,"303,997_ ","31,357_ ","8,580_ ",,,,,
臺北市,"184,218_ ",1.55%,0_ ,0.00%,"184,218_ ","14,854_ ","8,580_ ",,,,,
高雄市,"119,779_ ",1.01%,0_ ,0.00%,"119,779_ ","16,503_ ",0_ ,,,,,
縣市,"251,869_ ",2.12%,"128,289_ ",22.36%,"380,158_ ","62,558_ ","1,266_ ",,,,,
臺北縣,"38,781_ ",42.35%,"18,700_ ",24.83%,"57,481_ ","3,171_ ",0_ ,,,,,
桃園縣,"21,425_ ",38.01%,"14,190_ ",29.52%,"35,615_ ","3,797_ ",0_ ,,,,,
宜蘭縣,"8,956_ ",42.15%,"6,701_ ",36.91%,"15,657_ ","2,786_ ",0_ ,,,,,
新竹縣,"11,948_ ",43.97%,"7,263_ ",30.75%,"19,211_ ","11,619_ ",0_ ,,,,,
苗栗縣,"11,575_ ",39.27%,"6,421_ ",31.55%,"17,996_ ",25_ ,0_ ,,,,,
臺中縣,"19,950_ ",30.89%,"10,657_ ",25.51%,"30,607_ ","10,317_ ",20_ ,,,,,
彰化縣,"11,168_ ",30.30%,"2,500_ ",7.84%,"13,668_ ","1,687_ ",0_ ,,,,,
南投縣,"12,317_ ",42.47%,"2,832_ ",13.80%,"15,149_ ",216_ ,0_ ,,,,,
雲林縣,"14,009_ ",41.47%,"6,308_ ",26.70%,"20,317_ ","5,586_ ",0_ ,,,,,
嘉義縣,"11,835_ ",38.29%,"5,488_ ",24.91%,"17,323_ ","3,270_ ",0_ ,,,,,
臺南縣,"18,090_ ",41.05%,"9,081_ ",26.20%,"27,171_ ","9,613_ ",0_ ,,,,,
高雄縣,"9,160_ ",21.64%,"8,500_ ",24.68%,"17,660_ ",0_ ,0_ ,,,,,
屏東縣,"14,389_ ",39.21%,"5,881_ ",19.99%,"20,270_ ",0_ ,0_ ,,,,,
臺東縣,"3,525_ ",25.11%,"2,142_ ",17.65%,"5,667_ ",359_ ,336_ ,,,,,
花蓮縣,"6,010_ ",32.64%,"3,266_ ",20.07%,"9,276_ ",0_ ,0_ ,,,,,
澎湖縣,900_ ,10.47%,302_ ,4.32%,"1,202_ ",0_ ,0_ ,,,,,
基隆市,"6,653_ ",32.40%,"2,300_ ",13.16%,"8,953_ ",0_ ,0_ ,,,,,
新竹市,"8,927_ ",43.28%,"2,670_ ",16.58%,"11,597_ ","1,174_ ",0_ ,,,,,
臺中市,"7,055_ ",18.17%,"3,926_ ",11.55%,"10,981_ ","5,257_ ",0_ ,,,,,
嘉義市,"2,132_ ",14.98%,"2,044_ ",18.65%,"4,176_ ",17_ ,0_ ,,,,,
臺南市,"13,064_ ",40.82%,"7,117_ ",28.68%,"20,181_ ","3,364_ ",910_ ,,,,,
金門縣,0_ ,0.00%,0_ ,0.00%,0_ ,300_ ,0_ ,,,,,
連江縣,0_ ,0.00%,0_ ,0.00%,0_ ,0_ ,0_ ,,,,,
鄉鎮市,"7,783_ ",0.07%,517_ ,0.42%,"8,300_ ","2,056_ ",4_ ,,,,,
註1：中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
註2：依據103年1月1日新公共債務法施行前之該法第4條規定，各級政府債限如下：,,,,,,,,,,,,
 (1) 一年以上非自償債務：中央及各地方政府所舉借之一年以上非自償債務未償餘額不得超過前三年度名目GNP(國民生產毛額)平均數之48%【中央40%，地方8%－其中臺北市3.6%、高雄市1.8%,,,,,,,,,,,,
　　　　、縣(市)2%、鄉(鎮、市)0.6%】。個別縣(市)及鄉(鎮、市)舉借一年以上非自償債務未償餘額占各該政府總預算及特別預算歲出總額之比率，各不得超過45%及25%。,,,,,,,,,,,,
 (2) 未滿一年債務：中央及各地方政府未滿一年債務未償餘額占總預算及特別預算歲出總額之比率，分別不得超過15%及30%。,,,,,,,,,,,,
註3：「*」表示債務超限。,,,,,,,,,,,,
表1-1.  縣(市)政府債務負擔表－債務餘額,,,,,,,,,,,,
截至95年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,"5,885_ ","251,869_ ","128,289_ ","56,673_ ",0_ ,"1,266_ ","251,869_ ","6,487_ ",,,,
臺北縣,"1,126_ ","38,781_ ","18,700_ ","2,045_ ",0_ ,0_ ,"38,781_ ",931_ ,,,,
桃園縣,0_ ,"21,425_ ","14,190_ ","3,797_ ",0_ ,0_ ,"21,425_ ",485_ ,,,,
宜蘭縣,"1,035_ ","8,956_ ","6,701_ ","1,751_ ",0_ ,0_ ,"8,956_ ",246_ ,,,,
新竹縣,0_ ,"11,948_ ","7,263_ ","11,619_ ",0_ ,0_ ,"11,948_ ",439_ ,,,,
苗栗縣,0_ ,"11,575_ ","6,421_ ",25_ ,0_ ,0_ ,"11,575_ ",297_ ,,,,
臺中縣,0_ ,"19,950_ ","10,657_ ","10,317_ ",0_ ,20_ ,"19,950_ ",693_ ,,,,
彰化縣,0_ ,"11,168_ ","2,500_ ","1,687_ ",0_ ,0_ ,"11,168_ ",289_ ,,,,
南投縣,0_ ,"12,317_ ","2,832_ ",216_ ,0_ ,0_ ,"12,317_ ",234_ ,,,,
雲林縣,0_ ,"14,009_ ","6,308_ ","5,586_ ",0_ ,0_ ,"14,009_ ",432_ ,,,,
嘉義縣,"3,270_ ","11,835_ ","5,488_ ",0_ ,0_ ,0_ ,"11,835_ ",269_ ,,,,
臺南縣,454_ ,"18,090_ ","9,081_ ","9,159_ ",0_ ,0_ ,"18,090_ ",648_ ,,,,
高雄縣,0_ ,"9,160_ ","8,500_ ",0_ ,0_ ,0_ ,"9,160_ ",172_ ,,,,
屏東縣,0_ ,"14,389_ ","5,881_ ",0_ ,0_ ,0_ ,"14,389_ ",310_ ,,,,
臺東縣,0_ ,"3,525_ ","2,142_ ",359_ ,0_ ,336_ ,"3,525_ ",91_ ,,,,
花蓮縣,0_ ,"6,010_ ","3,266_ ",0_ ,0_ ,0_ ,"6,010_ ",137_ ,,,,
澎湖縣,0_ ,900_ ,302_ ,0_ ,0_ ,0_ ,900_ ,20_ ,,,,
基隆市,0_ ,"6,653_ ","2,300_ ",0_ ,0_ ,0_ ,"6,653_ ",76_ ,,,,
新竹市,0_ ,"8,927_ ","2,670_ ","1,174_ ",0_ ,0_ ,"8,927_ ",153_ ,,,,
臺中市,0_ ,"7,055_ ","3,926_ ","5,257_ ",0_ ,0_ ,"7,055_ ",118_ ,,,,
嘉義市,0_ ,"2,132_ ","2,044_ ",17_ ,0_ ,0_ ,"2,132_ ",42_ ,,,,
臺南市,0_ ,"13,064_ ","7,117_ ","3,364_ ",0_ ,910_ ,"13,064_ ",398_ ,,,,
金門縣,0_ ,0_ ,0_ ,300_ ,0_ ,0_ ,0_ ,7_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1-2.  鄉(鎮、市)公所債務負擔表－債務餘額,,,,,,,,,,,,
截至95年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,228_ ,"7,718_ ",517_ ,"1,828_ ",65_ ,4_ ,"7,783_ ",274_ ,,,,
臺北縣,0_ ,"1,552_ ",8_ ,40_ ,15_ ,0_ ,"1,567_ ",12_ ,,,,
桃園縣,0_ ,505_ ,321_ ,0_ ,0_ ,0_ ,505_ ,10_ ,,,,
宜蘭縣,0_ ,87_ ,0_ ,0_ ,0_ ,0_ ,87_ ,2_ ,,,,
新竹縣,0_ ,0_ ,0_ ,11_ ,0_ ,0_ ,0_ ,0_ ,,,,
苗栗縣,0_ ,115_ ,0_ ,121_ ,0_ ,0_ ,115_ ,2_ ,,,,
臺中縣,0_ ,808_ ,0_ ,0_ ,0_ ,0_ ,808_ ,67_ ,,,,
彰化縣,0_ ,348_ ,0_ ,99_ ,50_ ,0_ ,398_ ,10_ ,,,,
南投縣,48_ ,463_ ,0_ ,184_ ,0_ ,0_ ,463_ ,15_ ,,,,
雲林縣,0_ ,126_ ,0_ ,230_ ,0_ ,4_ ,126_ ,8_ ,,,,
嘉義縣,127_ ,894_ ,0_ ,131_ ,0_ ,0_ ,894_ ,11_ ,,,,
臺南縣,0_ ,"1,892_ ",0_ ,519_ ,0_ ,0_ ,"1,892_ ",97_ ,,,,
高雄縣,0_ ,616_ ,0_ ,218_ ,0_ ,0_ ,616_ ,24_ ,,,,
屏東縣,53_ ,245_ ,15_ ,263_ ,0_ ,0_ ,245_ ,13_ ,,,,
臺東縣,0_ ,67_ ,0_ ,12_ ,0_ ,0_ ,67_ ,0_ ,,,,
花蓮縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
澎湖縣,0_ ,0_ ,173_ ,0_ ,0_ ,0_ ,0_ ,3_ ,,,,
金門縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1.  各級政府債務負擔表－債務餘額,,,,,,,,,,,,
截至95年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
　政 府 別,自償,非自償,,自償,非自償,,,,,,,
　合　　計,"22,713_ ","4,177,032_ ","238,806_ ","554,469_ ","9,259_ ","156,086_ ","4,186,291_ ","156,333_ ",,,,
　中央政府,"15,000_ ","3,622,642_ ","110,000_ ","466,211_ ",0_ ,"146,236_ ","3,622,642_ ","142,027_ ",,,,
　地方政府,"7,713_ ","554,390_ ","128,806_ ","88,258_ ","9,259_ ","9,850_ ","563,649_ ","14,306_ ",,,,
　　臺北市,"1,600_ ","184,218_ ",0_ ,"13,254_ ",0_ ,"8,580_ ","184,218_ ","5,601_ ",,,,
　　高雄市,0_ ,"110,585_ ",0_ ,"16,503_ ","9,194_ ",0_ ,"119,779_ ","1,944_ ",,,,
　　縣　市 (表1-1),"5,885_ ","251,869_ ","128,289_ ","56,673_ ",0_ ,"1,266_ ","251,869_ ","6,487_ ",,,,
　　鄉鎮市 (表1-2),228_ ,"7,718_ ",517_ ,"1,828_ ",65_ ,4_ ,"7,783_ ",274_ ,,,,
說明：,,,,,,,,,,,,
　　1.中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
　　2.本表為各級政府為應公共事務支出所舉借之債務，包括公債、國庫券、國內外借款。普通基金包括總預算及特別預算。,,,,,,,,,,,,
"　　3.1年以上自償性債務總計577,182百萬元，係有特定財源用以償債，依公共債務法規定不計入債限。",,,,,,,,,,,,
"　　4.未滿1年之債務總計394,892百萬元，係為調節庫款收支所舉借之債務，其中普通基金238,806百萬元，受公共債務法債限管制。",,,,,,,,,,,,
　　5.因擔保、保證或契約可能造成未來會計年度支出：,,,,,,,,,,,,
"　　　(1)中央政府：中央政府：普通基金（交通部）325,880百萬元；非營業基金3,866百萬元。",,,,,,,,,,,,
"　　　(2)直轄市及縣(市)政府：共計34,336百萬元，分別為高雄市30,494百萬元、宜蘭縣925百萬元、桃園縣596百萬元、臺中縣1,718百萬元、雲林縣476百萬元、",,,,,,,,,,,,
                 高雄縣9百萬元及屏東縣118百萬元。,,,,,,,,,,,,
表2-1.  縣(市)政府債務負擔表－債務比率,,,,,,,,,,,,
截至95年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,34.74%,45.00%,22.36%,30.00%,,,,,,,,
臺北縣,42.35%,45.00%,24.83%,30.00%,,,,,,,,
桃園縣,38.01%,45.00%,29.52%,30.00%,,,,,,,,
宜蘭縣,42.15%,45.00%,36.91%,30.00%,,,,,,,,
新竹縣,43.97%,45.00%,30.75%,30.00%,,,,,,,,
苗栗縣,39.27%,45.00%,31.55%,30.00%,,,,,,,,
臺中縣,30.89%,45.00%,25.51%,30.00%,,,,,,,,
彰化縣,30.30%,45.00%,7.84%,30.00%,,,,,,,,
南投縣,42.47%,45.00%,13.80%,30.00%,,,,,,,,
雲林縣,41.47%,45.00%,26.70%,30.00%,,,,,,,,
嘉義縣,38.29%,45.00%,24.91%,30.00%,,,,,,,,
臺南縣,41.05%,45.00%,26.20%,30.00%,,,,,,,,
高雄縣,21.64%,45.00%,24.68%,30.00%,,,,,,,,
屏東縣,39.21%,45.00%,19.99%,30.00%,,,,,,,,
臺東縣,25.11%,45.00%,17.65%,30.00%,,,,,,,,
花蓮縣,32.64%,45.00%,20.07%,30.00%,,,,,,,,
澎湖縣,10.47%,45.00%,4.32%,30.00%,,,,,,,,
基隆市,32.40%,45.00%,13.16%,30.00%,,,,,,,,
新竹市,43.28%,45.00%,16.58%,30.00%,,,,,,,,
臺中市,18.17%,45.00%,11.55%,30.00%,,,,,,,,
嘉義市,14.98%,45.00%,18.65%,30.00%,,,,,,,,
臺南市,40.82%,45.00%,28.68%,30.00%,,,,,,,,
金門縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2-2.  鄉(鎮、市)公所債務負擔表－債務比率,,,,,,,,,,,,
截至95年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,4.57%,25.00%,0.42%,30.00%,,,,,,,,
臺北縣,5.65%,25.00%,0.03%,30.00%,,,,,,,,
桃園縣,2.47%,25.00%,2.08%,30.00%,,,,,,,,
宜蘭縣,2.03%,25.00%,0.00%,30.00%,,,,,,,,
新竹縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
苗栗縣,1.80%,25.00%,0.00%,30.00%,,,,,,,,
臺中縣,4.82%,25.00%,0.00%,30.00%,,,,,,,,
彰化縣,3.67%,25.00%,0.00%,30.00%,,,,,,,,
南投縣,6.67%,25.00%,0.00%,30.00%,,,,,,,,
雲林縣,1.34%,25.00%,0.00%,30.00%,,,,,,,,
嘉義縣,12.24%,25.00%,0.00%,30.00%,,,,,,,,
臺南縣,18.64%,25.00%,0.00%,30.00%,,,,,,,,
高雄縣,5.02%,25.00%,0.00%,30.00%,,,,,,,,
屏東縣,3.56%,25.00%,0.23%,30.00%,,,,,,,,
臺東縣,2.46%,25.00%,0.00%,30.00%,,,,,,,,
花蓮縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
澎湖縣,0.00%,25.00%,13.52%,30.00%,,,,,,,,
金門縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2.  各級政府債務負擔表－債務比率,,,,,,,,,,,,
截至95年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,單位：％　　,,,,,,
,   1年以上非自償債務餘額,,,,未滿1年債務餘額,,,,,,,
  政 府 別,占歲出比率,法定比率,占前3年度名目國民,,,,,,,,,
"生產毛額平均數比率""""",法定比率,占歲出比率,法定比率,,,,,,,,,
　合　　計,－,－,35.18%,48.00%,－,－,,,,,,
　中央政府,－,－,30.44%,40.00%,6.52%,15.00%,,,,,,
　地方政府,－,－,4.74%,8.00%,－,－,,,,,,
　　臺北市,－,－,1.55%,3.60%,0.00%,30.00%,,,,,,
　　高雄市,－,－,1.01%,1.80%,0.00%,30.00%,,,,,,
　　縣　市 (表2-1),34.74%,45.00%,2.12%,2.00%,22.36%,30.00%,,,,,,
　　鄉鎮市 (表2-2),4.57%,25.00%,0.07%,0.60%,0.42%,30.00%,,,,,,
說明：1.依據公共債務法規定：,,,,,,,,,,,,
　　　　(1)1年以上非自償債務，係指中央及地方政府在普通基金及非營業基金預算內，所舉借1年以上非自償債務。,,,,,,,,,,,,
　　　　(2)未滿1年債務，係指中央及地方政府為普通基金調度所舉借未滿1年債務。,,,,,,,,,,,,
      2.行政院主計總處配合聯合國國民經濟會計制度之修訂，將原國民生產毛額(GNP)改稱為國民所得毛額(GNI)。,,,,,,,,,,,,
"　　　  該總處105年10月28日公布之前3年度(92年度至94年度)名目國民所得毛額(GNI)平均數為11,899,868百萬元。",,,,,,,,,,,,
各級政府公共債務概況總表,,,,,,,,,,,,
96年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,,,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,,,,,
,金額,比率,金額,比率,,,,,,,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,,,,
合 　   計,"4,297,374_ ",34.51%,"200,685_ ",－,"4,498,059_ ","525,269_ ","158,601_ ",,,,,
中央政府,"3,718,196_ ",29.86%,"65,000_ ",3.76%,"3,783,196_ ","430,547_ ","151,370_ ",,,,,
地方政府,"579,178_ ",4.65%,"135,685_ ",－,"714,863_ ","94,722_ ","7,231_ ",,,,,
直轄市,"304,532_ ",－,0_ ,－,"304,532_ ","25,469_ ","4,410_ ",,,,,
臺北市,"170,468_ ",1.37%,0_ ,0.00%,"170,468_ ","11,173_ ","4,410_ ",,,,,
高雄市,"134,064_ ",1.08%,0_ ,0.00%,"134,064_ ","14,296_ ",0_ ,,,,,
縣市,"267,838_ ",2.15%,"135,181_ ",22.67%,"403,019_ ","67,045_ ","2,817_ ",,,,,
臺北縣,"38,807_ ",42.48%,"23,614_ ",30.04%,"62,421_ ","4,114_ ",0_ ,,,,,
